"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"lineage"
"Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri"	"S"	1505596	55	7	1	NA	NA	7	7	19	55	NA	1	10	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>ant&nbsp;endosymbionts>Candidatus&nbsp;Blochmannia>unclassified&nbsp;Candidatus&nbsp;Blochmannia&nbsp;endosymbionts"
"Candidatus Blochmannia vafer"	"S"	251535	9	3	NA	NA	NA	1	2	NA	9	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>ant&nbsp;endosymbionts>Candidatus&nbsp;Blochmannia"
"Candidatus Blochmannia vafer str. BVAF"	"-"	859654	9	3	NA	NA	NA	1	2	NA	9	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>ant&nbsp;endosymbionts>Candidatus&nbsp;Blochmannia>Candidatus&nbsp;Blochmannia&nbsp;vafer"
"Candidatus Blochmannia floridanus"	"S"	203907	2	2	NA	NA	NA	2	NA	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>ant&nbsp;endosymbionts>Candidatus&nbsp;Blochmannia"
"Candidatus Purcelliella"	"G"	472825	38	8	NA	NA	NA	17	18	19	38	NA	1	27	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts"
"Candidatus Purcelliella pentastirinorum"	"S"	472834	38	8	NA	NA	NA	17	18	19	38	NA	1	27	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>Candidatus&nbsp;Purcelliella"
"aphid secondary symbionts"	"-"	146507	496	2	2	NA	NA	16	8	41	496	NA	3	44	7	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts"
"secondary endosymbiont of Ctenarytaina eucalypti"	"S"	1199245	225	2	NA	NA	NA	11	1	3	225	NA	NA	6	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>aphid&nbsp;secondary&nbsp;symbionts"
"Candidatus Mikella"	"G"	1906660	61	2	NA	NA	NA	NA	1	5	61	NA	NA	8	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts"
"Candidatus Mikella endobia"	"S"	1778264	61	2	NA	NA	NA	NA	1	5	61	NA	NA	8	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>Candidatus&nbsp;Mikella"
"Candidatus Tachikawaea"	"G"	1682492	43	1	NA	NA	NA	5	3	3	43	NA	3	5	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts"
"Candidatus Tachikawaea gelatinosa"	"S"	1410383	43	1	NA	NA	NA	5	3	3	43	NA	3	5	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>Candidatus&nbsp;Tachikawaea"
"Candidatus Doolittlea"	"G"	1906657	166	1	NA	NA	NA	3	4	1	166	NA	NA	7	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts"
"Candidatus Doolittlea endobia"	"S"	1778262	166	1	NA	NA	NA	3	4	1	166	NA	NA	7	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>Candidatus&nbsp;Doolittlea"
"Candidatus Gullanella"	"G"	1906661	52	1	NA	NA	NA	NA	2	5	52	NA	NA	8	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts"
"Candidatus Gullanella endobia"	"S"	1070130	52	1	NA	NA	NA	NA	2	5	52	NA	NA	8	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>Candidatus&nbsp;Gullanella"
"unclassified Enterobacteriaceae (miscellaneous)"	"-"	36866	726	8	1	NA	NA	11	12	19	726	NA	3	49	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae"
"Plautia stali symbiont"	"S"	891974	685	3	1	NA	NA	8	9	10	685	NA	NA	16	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae&nbsp;(miscellaneous)"
"Enterobacteriaceae bacterium w6"	"S"	2282310	12	3	NA	NA	NA	NA	3	3	11	NA	1	12	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae&nbsp;(miscellaneous)"
"Enterobacteriaceae bacterium strain FGI 57"	"S"	693444	17	1	NA	NA	NA	2	NA	5	2	NA	1	17	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae&nbsp;(miscellaneous)"
"Candidatus Ishikawaella"	"G"	409304	637	18	3	NA	NA	108	97	115	637	2	13	82	6	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Candidatus Ishikawaella capsulata"	"S"	168169	637	18	3	NA	NA	108	97	115	637	2	13	82	6	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Candidatus&nbsp;Ishikawaella"
"Candidatus Ishikawaella capsulata Mpkobe"	"-"	476281	637	18	3	NA	NA	108	97	115	637	2	13	82	6	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Candidatus&nbsp;Ishikawaella>Candidatus&nbsp;Ishikawaella&nbsp;capsulata"
"Citrobacter"	"G"	544	4471	15	3	NA	NA	38	42	66	4471	1	7	92	7	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Citrobacter freundii complex"	"-"	1344959	3140	13	1	NA	NA	33	33	60	3140	NA	5	77	4	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter"
"Citrobacter freundii"	"S"	546	3090	10	NA	NA	NA	28	28	36	3090	NA	5	49	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter>Citrobacter&nbsp;freundii&nbsp;complex"
"Citrobacter werkmanii"	"S"	67827	21	3	1	NA	NA	3	3	12	3	NA	NA	21	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter>Citrobacter&nbsp;freundii&nbsp;complex"
"Citrobacter farmeri"	"S"	67824	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	2	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter"
"Citrobacter rodentium"	"S"	67825	1147	1	NA	NA	NA	3	8	4	1147	1	NA	7	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter"
"Citrobacter rodentium ICC168"	"-"	637910	1147	1	NA	NA	NA	3	8	4	1147	1	NA	7	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter>Citrobacter&nbsp;rodentium"
"Kosakonia"	"G"	1330547	8274	10	3	1	NA	32	39	36	8274	1	5	60	6	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Kosakonia cowanii"	"S"	208223	8170	10	2	1	NA	31	36	34	8170	1	4	52	5	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kosakonia"
"Kosakonia cowanii JCM 10956 = DSM 18146"	"-"	1300165	31	2	1	NA	NA	1	NA	5	31	NA	NA	4	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kosakonia>Kosakonia&nbsp;cowanii"
"Cronobacter"	"G"	413496	966	6	3	1	NA	48	65	84	966	NA	8	68	5	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Cronobacter sakazakii"	"S"	28141	837	6	3	1	NA	44	64	78	837	NA	8	64	5	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cronobacter"
"Cronobacter sakazakii SP291"	"-"	956149	834	6	3	NA	NA	44	64	78	834	NA	8	64	5	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cronobacter>Cronobacter&nbsp;sakazakii"
"Pluralibacter"	"G"	1330546	13	5	NA	NA	NA	11	10	13	5	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"[Enterobacter] lignolyticus"	"S"	1334193	13	4	NA	NA	NA	11	10	13	4	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Pluralibacter"
"[Enterobacter] lignolyticus SCF1"	"-"	701347	4	1	NA	NA	NA	NA	NA	1	4	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Pluralibacter>[Enterobacter]&nbsp;lignolyticus"
"Pluralibacter gergoviae"	"S"	61647	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Pluralibacter"
"Candidatus Riesia"	"G"	401618	398	4	NA	NA	NA	15	15	21	398	NA	1	30	4	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Candidatus Riesia pediculischaeffi"	"S"	428411	296	3	NA	NA	NA	4	3	8	296	NA	1	14	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Candidatus&nbsp;Riesia"
"Lelliottia"	"G"	1330545	15	4	NA	NA	NA	3	3	4	15	NA	NA	3	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Lelliottia amnigena"	"S"	61646	15	1	NA	NA	NA	1	3	2	15	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Lelliottia"
"Leclercia"	"G"	83654	696	3	1	NA	NA	6	3	11	696	NA	1	5	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Leclercia sp. LSNIH1"	"S"	1920114	307	2	NA	NA	NA	4	2	9	307	NA	1	4	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Leclercia"
"Cedecea"	"G"	158483	30	3	1	NA	NA	11	13	30	11	NA	1	28	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Cedecea neteri"	"S"	158822	30	3	1	NA	NA	11	13	30	11	NA	1	28	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cedecea"
"Candidatus Moranella"	"G"	1048757	5	1	NA	NA	NA	1	1	1	5	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Candidatus Moranella endobia"	"S"	1048758	5	1	NA	NA	NA	1	1	1	5	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Candidatus&nbsp;Moranella"
"Shimwellia"	"G"	1335483	159	1	NA	NA	NA	1	1	3	159	NA	NA	6	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Shimwellia blattae"	"S"	563	159	1	NA	NA	NA	1	1	3	159	NA	NA	6	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shimwellia"
"Shimwellia blattae DSM 4481 = NBRC 105725"	"-"	630626	159	1	NA	NA	NA	1	1	3	159	NA	NA	6	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shimwellia>Shimwellia&nbsp;blattae"
"Limnobaculum"	"G"	2172100	17	1	NA	NA	NA	NA	3	12	17	NA	3	15	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Limnobaculum parvum"	"S"	2172103	17	1	NA	NA	NA	NA	3	12	17	NA	3	15	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Limnobaculum"
"Erwiniaceae"	"F"	1903409	1916	184	44	1	2	1275	985	484	1916	1	58	472	96	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales"
"Erwinia"	"G"	551	1220	64	7	1	NA	216	246	193	1220	NA	11	163	20	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae"
"Erwinia sp. Ejp617"	"S"	215689	945	53	6	1	NA	146	178	144	945	NA	8	108	13	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Erwinia"
"Candidatus Erwinia sp. ErCipseudotaxifoliae"	"S"	1922217	120	11	1	NA	NA	65	62	28	120	NA	3	28	3	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Erwinia"
"Buchnera"	"G"	32199	608	57	22	NA	NA	608	427	82	178	NA	10	59	9	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae"
"Buchnera aphidicola"	"S"	9	608	57	22	NA	NA	608	427	82	178	NA	10	59	9	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Buchnera"
"Buchnera aphidicola (Myzus persicae)"	"-"	98795	27	5	NA	NA	NA	27	11	5	2	NA	1	2	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Buchnera>Buchnera&nbsp;aphidicola"
"Buchnera aphidicola (Baizongia pistaciae)"	"-"	135842	6	2	1	NA	NA	3	6	4	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Buchnera>Buchnera&nbsp;aphidicola"
"Buchnera aphidicola str. Bp (Baizongia pistaciae)"	"-"	224915	6	2	1	NA	NA	3	6	4	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Buchnera>Buchnera&nbsp;aphidicola>Buchnera&nbsp;aphidicola&nbsp;(Baizongia&nbsp;pistaciae)"
"Pantoea"	"G"	53335	401	8	NA	NA	1	49	43	133	401	NA	21	175	48	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae"
"Pantoea sp. At-9b"	"S"	592316	91	2	NA	NA	NA	10	8	23	91	NA	5	41	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Candidatus Pantoea carbekii"	"S"	1235990	55	2	NA	NA	NA	22	23	17	55	NA	NA	13	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Pantoea ananatis"	"S"	553	2	1	NA	NA	NA	NA	2	1	1	NA	1	2	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Pantoea stewartii"	"S"	66269	49	1	NA	NA	1	1	1	5	49	NA	1	3	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Pantoea stewartii subsp. stewartii"	"-"	66271	49	1	NA	NA	1	1	1	5	49	NA	1	3	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea>Pantoea&nbsp;stewartii"
"Pantoea stewartii subsp. stewartii DC283"	"-"	660596	49	1	NA	NA	1	1	1	5	49	NA	1	3	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea>Pantoea&nbsp;stewartii>Pantoea&nbsp;stewartii&nbsp;subsp.&nbsp;stewartii"
"Pantoea vagans"	"S"	470934	54	1	NA	NA	NA	6	2	37	35	NA	3	54	20	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Pantoea sp. PSNIH1"	"S"	1484158	4	1	NA	NA	NA	1	NA	NA	2	NA	NA	4	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Yersiniaceae"	"F"	1903411	5725	105	22	NA	1	468	504	855	5725	2	78	963	73	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales"
"Yersinia"	"G"	629	3870	75	14	NA	1	378	402	583	3870	NA	50	647	59	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae"
"Yersinia pseudotuberculosis complex"	"-"	1649845	1068	29	5	NA	NA	116	129	163	1068	NA	13	175	20	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia pestis"	"S"	632	581	16	3	NA	NA	86	80	83	581	NA	6	88	14	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex"
"Yersinia pestis A1122"	"-"	1035377	63	6	2	NA	NA	16	20	30	63	NA	1	22	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex>Yersinia&nbsp;pestis"
"Yersinia pestis 2944"	"-"	1345702	37	2	NA	NA	NA	10	8	3	37	NA	NA	7	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex>Yersinia&nbsp;pestis"
"Yersinia pestis Antiqua"	"-"	360102	29	1	NA	NA	NA	5	1	5	29	NA	NA	10	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex>Yersinia&nbsp;pestis"
"Yersinia pestis Pestoides G"	"-"	649716	7	1	NA	NA	NA	4	4	4	2	NA	3	7	5	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex>Yersinia&nbsp;pestis"
"Yersinia pestis str. Pestoides B"	"-"	748678	269	1	NA	NA	NA	4	6	8	269	NA	1	14	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex>Yersinia&nbsp;pestis"
"Yersinia pestis 790"	"-"	1345701	13	1	NA	NA	NA	5	3	6	13	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex>Yersinia&nbsp;pestis"
"Yersinia pseudotuberculosis"	"S"	633	487	12	2	NA	NA	28	45	71	487	NA	6	51	4	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex"
"Yersinia pseudotuberculosis IP 32953"	"-"	273123	238	7	1	NA	NA	22	36	36	238	NA	5	26	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex>Yersinia&nbsp;pseudotuberculosis"
"Yersinia aldovae"	"S"	29483	79	14	2	NA	NA	68	79	72	72	NA	3	33	6	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia aldovae 670-83"	"-"	1453495	79	14	2	NA	NA	68	79	72	72	NA	3	33	6	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;aldovae"
"Yersinia enterocolitica"	"S"	630	923	12	4	NA	NA	82	85	149	923	NA	12	159	15	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia kristensenii"	"S"	28152	807	5	1	NA	NA	13	25	63	807	NA	6	89	5	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia frederiksenii"	"S"	29484	521	5	2	NA	NA	39	24	45	521	NA	5	61	6	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia frederiksenii Y225"	"-"	1454377	521	5	2	NA	NA	39	24	45	521	NA	5	61	6	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;frederiksenii"
"Yersinia entomophaga"	"S"	935293	52	3	NA	NA	1	25	32	46	52	NA	4	44	6	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia rohdei"	"S"	29485	56	2	NA	NA	NA	1	1	4	56	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia ruckeri"	"S"	29486	21	1	NA	NA	NA	17	8	16	2	NA	NA	21	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Serratia"	"G"	613	1381	21	5	NA	NA	64	66	208	1381	2	20	249	14	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae"
"Serratia plymuthica"	"S"	82996	324	7	1	NA	NA	16	18	93	324	NA	4	60	4	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Serratia plymuthica RVH1"	"-"	1006598	251	2	1	NA	NA	4	3	8	251	NA	1	12	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia>Serratia&nbsp;plymuthica"
