"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"Tenebrionidae"	"F"	7065	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Tenebrionoidea"
"Tenebrionidae incertae sedis"	"-"	1304792	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Tenebrionoidea>Tenebrionidae"
"Tribolium"	"G"	7069	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Tenebrionoidea>Tenebrionidae>Tenebrionidae&nbsp;incertae&nbsp;sedis"
"Tribolium castaneum"	"S"	7070	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Tenebrionoidea>Tenebrionidae>Tenebrionidae&nbsp;incertae&nbsp;sedis>Tribolium"
"Adephaga"	"-"	41071	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera"
"Caraboidea"	"-"	535382	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Adephaga"
"Carabidae"	"F"	41073	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Adephaga>Caraboidea"
"Paussinae"	"-"	71520	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Adephaga>Caraboidea>Carabidae"
"Paussini"	"-"	63891	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Adephaga>Caraboidea>Carabidae>Paussinae"
"Arthropterus"	"G"	63892	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Adephaga>Caraboidea>Carabidae>Paussinae>Paussini"
"Diptera"	"O"	7147	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	0.0003595	NA	NA	0.0002569	NA	NA	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola"
"Nematoda"	"P"	6231	2	NA	NA	1	NA	NA	NA	2	NA	2	NA	NA	0.0005483	NA	NA	0.0002569	NA	NA	NA	0.000496	NA	0.0005483	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa"
"Chromadorea"	"C"	119089	2	NA	NA	1	NA	NA	NA	2	NA	1	NA	NA	0.000496	NA	NA	0.0002569	NA	NA	NA	0.000496	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Nematoda"
"Rhabditida"	"O"	6236	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	0.0002742	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Nematoda>Chromadorea"
"Tylenchina"	"-"	6300	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	0.0002742	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Nematoda>Chromadorea>Rhabditida"
"Tylenchomorpha"	"-"	33283	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	0.0002742	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Nematoda>Chromadorea>Rhabditida>Tylenchina"
"Tylenchoidea"	"-"	33284	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	0.0002742	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Nematoda>Chromadorea>Rhabditida>Tylenchina>Tylenchomorpha"
"Hoplolaimidae"	"F"	211158	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	0.0002742	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Nematoda>Chromadorea>Rhabditida>Tylenchina>Tylenchomorpha>Tylenchoidea"
"Rotylenchulinae"	"-"	211162	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	0.0002742	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Nematoda>Chromadorea>Rhabditida>Tylenchina>Tylenchomorpha>Tylenchoidea>Hoplolaimidae"
"Rotylenchulus"	"G"	211163	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	0.0002742	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Nematoda>Chromadorea>Rhabditida>Tylenchina>Tylenchomorpha>Tylenchoidea>Hoplolaimidae>Rotylenchulinae"
"Rotylenchulus reniformis"	"S"	239373	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	0.0002742	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Nematoda>Chromadorea>Rhabditida>Tylenchina>Tylenchomorpha>Tylenchoidea>Hoplolaimidae>Rotylenchulinae>Rotylenchulus"
"Mollusca"	"P"	6447	2	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa"
"Gastropoda"	"C"	6448	2	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Mollusca"
"Heterobranchia"	"-"	216305	2	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Mollusca>Gastropoda"
"Euthyneura"	"-"	216307	2	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Mollusca>Gastropoda>Heterobranchia"
"Panpulmonata"	"-"	977775	2	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Mollusca>Gastropoda>Heterobranchia>Euthyneura"
"Sacoglossa"	"-"	71490	2	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Mollusca>Gastropoda>Heterobranchia>Euthyneura>Panpulmonata"
"Placobranchoidea"	"-"	71491	2	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Mollusca>Gastropoda>Heterobranchia>Euthyneura>Panpulmonata>Sacoglossa"
"Placobranchidae"	"F"	71492	2	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Mollusca>Gastropoda>Heterobranchia>Euthyneura>Panpulmonata>Sacoglossa>Placobranchoidea"
"Elysia"	"G"	71493	2	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Mollusca>Gastropoda>Heterobranchia>Euthyneura>Panpulmonata>Sacoglossa>Placobranchoidea>Placobranchidae"
"Elysia timida"	"S"	154625	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Mollusca>Gastropoda>Heterobranchia>Euthyneura>Panpulmonata>Sacoglossa>Placobranchoidea>Placobranchidae>Elysia"
"Nemertea"	"P"	6217	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa"
"Pilidiophora"	"C"	6218	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Nemertea"
"Heteronemertea"	"O"	6219	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Nemertea>Pilidiophora"
"Lineidae"	"F"	6222	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Nemertea>Pilidiophora>Heteronemertea"
"Notospermus"	"G"	416867	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Nemertea>Pilidiophora>Heteronemertea>Lineidae"
"Notospermus sp. MCZ IZ 133726"	"S"	1519756	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Lophotrochozoa>Nemertea>Pilidiophora>Heteronemertea>Lineidae>Notospermus"
"Salmoninae"	"-"	504568	7	NA	NA	5	NA	2	6	2	1	7	NA	NA	0.002157	NA	NA	0.001285	NA	0.0008082	0.002157	0.000496	0.0003734	0.001919	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Protacanthopterygii>Salmoniformes>Salmonidae"
"Salmo"	"G"	8028	7	NA	NA	5	NA	2	6	2	1	7	NA	NA	0.002157	NA	NA	0.001285	NA	0.0008082	0.002157	0.000496	0.0003734	0.001919	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Protacanthopterygii>Salmoniformes>Salmonidae>Salmoninae"
"Salmo salar"	"S"	8030	7	NA	NA	5	NA	2	6	2	1	7	NA	NA	0.002157	NA	NA	0.001285	NA	0.0008082	0.002157	0.000496	0.0003734	0.001919	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Protacanthopterygii>Salmoniformes>Salmonidae>Salmoninae>Salmo"
"Sarcopterygii"	"-"	8287	1	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	0.0004041	NA	NA	0.0002569	NA	0.0004041	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi"
"Dipnotetrapodomorpha"	"-"	1338369	1	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	0.0004041	NA	NA	0.0002569	NA	0.0004041	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii"
"Tetrapoda"	"-"	32523	1	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	0.0004041	NA	NA	0.0002569	NA	0.0004041	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha"
"Amniota"	"-"	32524	1	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	0.0004041	NA	NA	0.0002569	NA	0.0004041	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda"
"Sauropsida"	"-"	8457	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	0.0003595	NA	NA	0.0002569	NA	NA	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota"
"Sauria"	"-"	32561	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	0.0003595	NA	NA	0.0002569	NA	NA	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida"
"Lepidosauria"	"-"	8504	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria"
"Squamata"	"O"	8509	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria"
"Bifurcata"	"-"	1329961	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata"
"Unidentata"	"-"	1329950	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata"
"Episquamata"	"-"	1329912	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata"
"Toxicofera"	"-"	1329911	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata"
"Iguania"	"-"	8511	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera"
"Dactyloidae"	"F"	2024747	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera>Iguania"
"Anolis"	"G"	28376	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera>Iguania>Dactyloidae"
"Anolis carolinensis"	"S"	28377	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera>Iguania>Dactyloidae>Anolis"
"Platyhelminthes"	"P"	6157	16	NA	NA	5	NA	1	1	16	1	10	NA	NA	0.003968	NA	NA	0.001285	NA	0.0004041	0.0003595	0.003968	0.0003734	0.002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria"
"Cestoda"	"C"	6199	16	NA	NA	5	NA	1	1	16	NA	9	NA	NA	0.003968	NA	NA	0.001285	NA	0.0004041	0.0003595	0.003968	NA	0.002467	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Platyhelminthes"
"Eucestoda"	"-"	6200	12	NA	NA	4	NA	1	1	12	NA	7	NA	NA	0.002976	NA	NA	0.001028	NA	0.0004041	0.0003595	0.002976	NA	0.001919	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Platyhelminthes>Cestoda"
"Cyclophyllidea"	"O"	6201	12	NA	NA	4	NA	1	1	12	NA	7	NA	NA	0.002976	NA	NA	0.001028	NA	0.0004041	0.0003595	0.002976	NA	0.001919	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Platyhelminthes>Cestoda>Eucestoda"
