"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.kreport.cladeReads"	"centrifuge_classification_june_BC02.kreport.cladeReads"	"centrifuge_classification_june_BC03.kreport.cladeReads"	"centrifuge_classification_june_BC04.kreport.cladeReads"	"centrifuge_classification_june_BC05.kreport.cladeReads"	"centrifuge_classification_june_BC06.kreport.cladeReads"	"centrifuge_classification_june_BC08.kreport.cladeReads"	"centrifuge_classification_june_BC09.kreport.cladeReads"	"centrifuge_classification_june_BC10.kreport.cladeReads"	"centrifuge_classification_june_BC11.kreport.cladeReads"	"centrifuge_classification_june_BC12.kreport.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.kreport.cladeReads.."	"centrifuge_classification_june_BC02.kreport.cladeReads.."	"centrifuge_classification_june_BC03.kreport.cladeReads.."	"centrifuge_classification_june_BC04.kreport.cladeReads.."	"centrifuge_classification_june_BC05.kreport.cladeReads.."	"centrifuge_classification_june_BC06.kreport.cladeReads.."	"centrifuge_classification_june_BC08.kreport.cladeReads.."	"centrifuge_classification_june_BC09.kreport.cladeReads.."	"centrifuge_classification_june_BC10.kreport.cladeReads.."	"centrifuge_classification_june_BC11.kreport.cladeReads.."	"centrifuge_classification_june_BC12.kreport.cladeReads.."	"lineage"
"Laceyella"	"G"	292635	166	166	4	126	NA	90	NA	164	NA	NA	12	NA	0.09015	0.08277	0.05424	0.07723	NA	0.04628	NA	0.09015	NA	NA	0.01319	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"Laceyella sp. FBKL4.010"	"S"	2071623	166	166	4	126	NA	90	NA	164	NA	NA	12	NA	0.09015	0.08277	0.05424	0.07723	NA	0.04628	NA	0.09015	NA	NA	0.01319	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae>Laceyella"
"Paenibacillaceae"	"F"	186822	450	129	7	116	1	127	NA	450	1	NA	25	1	0.9174	0.06432	0.09493	0.0711	0.625	0.0653	NA	0.2474	0.9174	NA	0.02747	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Paenibacillus"	"G"	44249	419	64	6	64	1	77	NA	419	1	NA	21	1	0.9174	0.03191	0.08137	0.03923	0.625	0.03959	NA	0.2303	0.9174	NA	0.02308	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Paenibacillus polymyxa"	"S"	1406	187	53	2	48	1	42	NA	187	NA	NA	9	NA	0.625	0.02643	0.02712	0.02942	0.625	0.0216	NA	0.1028	NA	NA	0.00989	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Paenibacillus naphthalenovorans"	"S"	162209	19	3	NA	8	NA	10	NA	19	NA	NA	1	NA	0.01044	0.001496	NA	0.004904	NA	0.005142	NA	0.01044	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Paenibacillus beijingensis"	"S"	1126833	43	2	NA	1	NA	4	NA	43	NA	NA	1	NA	0.02364	0.0009973	NA	0.000613	NA	0.002057	NA	0.02364	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Paenibacillus durus"	"S"	44251	18	1	1	NA	NA	NA	NA	18	NA	NA	1	NA	0.01356	0.0004986	0.01356	NA	NA	NA	NA	0.009894	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Paenibacillus crassostreae"	"S"	1763538	19	1	1	NA	NA	NA	NA	19	NA	NA	NA	NA	0.01356	0.0004986	0.01356	NA	NA	NA	NA	0.01044	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Brevibacillus"	"G"	55080	56	56	1	43	NA	41	NA	10	NA	NA	2	NA	0.02792	0.02792	0.01356	0.02636	NA	0.02108	NA	0.005497	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Brevibacillus formosus"	"S"	54913	56	56	1	43	NA	41	NA	6	NA	NA	1	NA	0.02792	0.02792	0.01356	0.02636	NA	0.02108	NA	0.003298	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Brevibacillus"
"Planococcaceae"	"F"	186818	6739	113	9	99	NA	111	NA	6739	NA	NA	40	NA	3.704	0.05635	0.1221	0.06068	NA	0.05707	NA	3.704	NA	NA	0.04396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Planococcus"	"G"	1372	6222	78	6	60	NA	69	NA	6222	NA	NA	30	NA	3.42	0.03889	0.08137	0.03678	NA	0.03548	NA	3.42	NA	NA	0.03297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Planococcus sp. MB-3u-03"	"S"	2058136	5762	75	5	56	NA	48	NA	5762	NA	NA	20	NA	3.167	0.0374	0.06781	0.03433	NA	0.02468	NA	3.167	NA	NA	0.02198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Planococcus"
"Planococcus halocryophilus"	"S"	1215089	19	2	1	NA	NA	19	NA	NA	NA	NA	9	NA	0.01356	0.0009973	0.01356	NA	NA	0.009769	NA	NA	NA	NA	0.00989	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Planococcus"
"Planococcus donghaensis"	"S"	414778	32	1	NA	NA	NA	1	NA	32	NA	NA	NA	NA	0.01759	0.0004986	NA	NA	NA	0.0005142	NA	0.01759	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Planococcus"
"Solibacillus"	"G"	648800	330	32	1	35	NA	34	NA	330	NA	NA	6	NA	0.1814	0.01596	0.01356	0.02145	NA	0.01748	NA	0.1814	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Solibacillus silvestris"	"S"	76853	320	32	1	35	NA	30	NA	320	NA	NA	6	NA	0.1759	0.01596	0.01356	0.02145	NA	0.01543	NA	0.1759	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Solibacillus"
"Sporosarcina"	"G"	1569	153	3	2	2	NA	8	NA	153	NA	NA	4	NA	0.0841	0.001496	0.02712	0.001226	NA	0.004113	NA	0.0841	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Sporosarcina ureae"	"S"	1571	63	2	2	2	NA	2	NA	63	NA	NA	2	NA	0.03463	0.0009973	0.02712	0.001226	NA	0.001028	NA	0.03463	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Sporosarcina"
"Alicyclobacillaceae"	"F"	186823	65	37	1	20	NA	22	NA	65	NA	NA	8	NA	0.03573	0.01845	0.01356	0.01226	NA	0.01131	NA	0.03573	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Alicyclobacillus"	"G"	29330	49	21	1	8	NA	9	NA	49	NA	NA	5	NA	0.02693	0.01047	0.01356	0.004904	NA	0.004628	NA	0.02693	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae"
"Alicyclobacillus acidocaldarius"	"S"	405212	49	21	1	8	NA	9	NA	49	NA	NA	5	NA	0.02693	0.01047	0.01356	0.004904	NA	0.004628	NA	0.02693	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae>Alicyclobacillus"
"Kyrpidia"	"G"	1129704	14	14	NA	9	NA	11	NA	10	NA	NA	1	NA	0.006981	0.006981	NA	0.005517	NA	0.005656	NA	0.005497	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae"
"Kyrpidia tusciae"	"S"	33943	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae>Kyrpidia"
"Kyrpidia sp. EA-1"	"S"	2055160	2	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	0.001099	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae>Kyrpidia"
"Bacillales incertae sedis"	"-"	539002	39	3	NA	2	NA	15	NA	39	NA	NA	7	NA	0.02144	0.001496	NA	0.001226	NA	0.007713	NA	0.02144	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Bacillales Family XII. Incertae Sedis"	"-"	539742	30	3	NA	1	NA	14	NA	30	NA	NA	7	NA	0.01649	0.001496	NA	0.000613	NA	0.007198	NA	0.01649	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis"
"Exiguobacterium"	"G"	33986	30	3	NA	1	NA	14	NA	30	NA	NA	7	NA	0.01649	0.001496	NA	0.000613	NA	0.007198	NA	0.01649	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis>Bacillales&nbsp;Family&nbsp;XII.&nbsp;Incertae&nbsp;Sedis"
"Exiguobacterium sp. AT1b"	"S"	360911	11	2	NA	1	NA	11	NA	11	NA	NA	6	NA	0.006593	0.0009973	NA	0.000613	NA	0.005656	NA	0.006046	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis>Bacillales&nbsp;Family&nbsp;XII.&nbsp;Incertae&nbsp;Sedis>Exiguobacterium"
"Negativicutes"	"C"	909932	665	665	21	606	NA	450	NA	268	NA	NA	71	NA	0.3714	0.3316	0.2848	0.3714	NA	0.2314	NA	0.1473	NA	NA	0.07802	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes"
"Selenomonadales"	"O"	909929	527	527	21	497	NA	360	NA	149	NA	NA	60	NA	0.3046	0.2628	0.2848	0.3046	NA	0.1851	NA	0.0819	NA	NA	0.06593	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes"
"Selenomonadaceae"	"F"	1843491	447	447	14	398	NA	289	NA	71	NA	NA	34	NA	0.244	0.2229	0.1899	0.244	NA	0.1486	NA	0.03903	NA	NA	0.03736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales"
"Selenomonas"	"G"	970	440	440	14	391	NA	280	NA	12	NA	NA	26	NA	0.2397	0.2194	0.1899	0.2397	NA	0.144	NA	0.006596	NA	NA	0.02857	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales>Selenomonadaceae"
"Selenomonas ruminantium"	"S"	971	434	434	14	384	NA	271	NA	5	NA	NA	20	NA	0.2354	0.2164	0.1899	0.2354	NA	0.1393	NA	0.002748	NA	NA	0.02198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas"
"Selenomonas sp. oral taxon 920"	"S"	1884263	4	2	NA	NA	NA	2	NA	4	NA	NA	NA	NA	0.002199	0.0009973	NA	NA	NA	0.001028	NA	0.002199	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas"
"Megamonas"	"G"	158846	59	7	NA	7	NA	9	NA	59	NA	NA	8	NA	0.03243	0.00349	NA	0.004291	NA	0.004628	NA	0.03243	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales>Selenomonadaceae"
"Megamonas hypermegale"	"S"	158847	59	7	NA	7	NA	9	NA	59	NA	NA	8	NA	0.03243	0.00349	NA	0.004291	NA	0.004628	NA	0.03243	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales>Selenomonadaceae>Megamonas"
"Sporomusaceae"	"F"	1843490	99	80	7	99	NA	71	NA	78	NA	NA	26	NA	0.09493	0.03989	0.09493	0.06068	NA	0.03651	NA	0.04287	NA	NA	0.02857	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales"
"Pelosinus"	"G"	365348	99	80	7	99	NA	71	NA	78	NA	NA	26	NA	0.09493	0.03989	0.09493	0.06068	NA	0.03651	NA	0.04287	NA	NA	0.02857	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales>Sporomusaceae"
"Pelosinus fermentans"	"S"	365349	74	53	6	74	NA	52	NA	1	NA	NA	17	NA	0.08137	0.02643	0.08137	0.04536	NA	0.02674	NA	0.0005497	NA	NA	0.01868	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales>Sporomusaceae>Pelosinus"
"Pelosinus sp. UFO1"	"S"	484770	58	27	1	24	NA	19	NA	58	NA	NA	9	NA	0.03188	0.01346	0.01356	0.01471	NA	0.009769	NA	0.03188	NA	NA	0.00989	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales>Sporomusaceae>Pelosinus"
"Acidaminococcales"	"O"	1843488	45	45	NA	39	NA	28	NA	16	NA	NA	3	NA	0.02391	0.02244	NA	0.02391	NA	0.0144	NA	0.008795	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes"
"Acidaminococcaceae"	"F"	909930	45	45	NA	39	NA	28	NA	16	NA	NA	3	NA	0.02391	0.02244	NA	0.02391	NA	0.0144	NA	0.008795	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Acidaminococcales"
"Acidaminococcus"	"G"	904	45	45	NA	39	NA	28	NA	16	NA	NA	3	NA	0.02391	0.02244	NA	0.02391	NA	0.0144	NA	0.008795	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Acidaminococcales>Acidaminococcaceae"
"Acidaminococcus fermentans"	"S"	905	31	28	NA	31	NA	20	NA	5	NA	NA	3	NA	0.019	0.01396	NA	0.019	NA	0.01028	NA	0.002748	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Acidaminococcales>Acidaminococcaceae>Acidaminococcus"
"Veillonellales"	"O"	1843489	93	45	NA	37	NA	34	NA	93	NA	NA	6	NA	0.05112	0.02244	NA	0.02268	NA	0.01748	NA	0.05112	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes"
"Veillonellaceae"	"F"	31977	93	45	NA	37	NA	34	NA	93	NA	NA	6	NA	0.05112	0.02244	NA	0.02268	NA	0.01748	NA	0.05112	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Veillonellales"
"Dialister"	"G"	39948	32	10	NA	12	NA	4	NA	32	NA	NA	2	NA	0.01759	0.004986	NA	0.007355	NA	0.002057	NA	0.01759	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Veillonellales>Veillonellaceae"
"Dialister pneumosintes"	"S"	39950	32	10	NA	12	NA	4	NA	32	NA	NA	2	NA	0.01759	0.004986	NA	0.007355	NA	0.002057	NA	0.01759	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Veillonellales>Veillonellaceae>Dialister"
"Megasphaera"	"G"	906	5	2	NA	NA	NA	1	NA	5	NA	NA	NA	NA	0.002748	0.0009973	NA	NA	NA	0.0005142	NA	0.002748	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Veillonellales>Veillonellaceae"
"Megasphaera elsdenii"	"S"	907	5	2	NA	NA	NA	1	NA	5	NA	NA	NA	NA	0.002748	0.0009973	NA	NA	NA	0.0005142	NA	0.002748	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Veillonellales>Veillonellaceae>Megasphaera"
"Veillonella"	"G"	29465	32	1	NA	NA	NA	1	NA	32	NA	NA	3	NA	0.01759	0.0004986	NA	NA	NA	0.0005142	NA	0.01759	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Veillonellales>Veillonellaceae"
"Negativicoccus"	"G"	909928	9	1	NA	1	NA	4	NA	9	NA	NA	NA	NA	0.004947	0.0004986	NA	0.000613	NA	0.002057	NA	0.004947	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Veillonellales>Veillonellaceae"
"Negativicoccus massiliensis"	"S"	1702287	9	1	NA	1	NA	4	NA	9	NA	NA	NA	NA	0.004947	0.0004986	NA	0.000613	NA	0.002057	NA	0.004947	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Veillonellales>Veillonellaceae>Negativicoccus"
"Tissierellia"	"C"	1737404	120	120	5	102	NA	74	NA	71	NA	NA	14	NA	0.06781	0.05984	0.06781	0.06252	NA	0.03805	NA	0.03903	NA	NA	0.01538	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes"
"Tissierellales"	"O"	1737405	117	117	5	102	NA	67	NA	68	NA	NA	11	NA	0.06781	0.05834	0.06781	0.06252	NA	0.03445	NA	0.03738	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia"
"Peptoniphilaceae"	"F"	1570339	113	113	4	92	NA	61	NA	44	NA	NA	11	NA	0.05639	0.05635	0.05424	0.05639	NA	0.03136	NA	0.02419	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales"
"Finegoldia"	"G"	150022	103	103	3	82	NA	55	NA	9	NA	NA	7	NA	0.05136	0.05136	0.04068	0.05026	NA	0.02828	NA	0.004947	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales>Peptoniphilaceae"
"Finegoldia magna"	"S"	1260	103	103	3	82	NA	55	NA	9	NA	NA	7	NA	0.05136	0.05136	0.04068	0.05026	NA	0.02828	NA	0.004947	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales>Peptoniphilaceae>Finegoldia"
"Anaerococcus"	"G"	165779	35	7	1	7	NA	4	NA	35	NA	NA	2	NA	0.01924	0.00349	0.01356	0.004291	NA	0.002057	NA	0.01924	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales>Peptoniphilaceae"
"Anaerococcus prevotii"	"S"	33034	5	1	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	0.002748	0.0004986	NA	NA	NA	NA	NA	0.002748	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales>Peptoniphilaceae>Anaerococcus"
"Murdochiella"	"G"	1161127	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales>Peptoniphilaceae"
"Murdochiella vaginalis"	"S"	1852373	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales>Peptoniphilaceae>Murdochiella"
"Peptoniphilus"	"G"	162289	2	1	NA	2	NA	1	NA	NA	NA	NA	NA	NA	0.001226	0.0004986	NA	0.001226	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales>Peptoniphilaceae"
"Peptoniphilus sp. ING2-D1G"	"S"	1912856	2	1	NA	2	NA	1	NA	NA	NA	NA	NA	NA	0.001226	0.0004986	NA	0.001226	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales>Peptoniphilaceae>Peptoniphilus"
"Gottschalkiaceae"	"F"	2042895	23	4	1	10	NA	6	NA	23	NA	NA	NA	NA	0.01356	0.001995	0.01356	0.00613	NA	0.003085	NA	0.01264	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales"
"Gottschalkia"	"G"	1505664	23	4	1	10	NA	6	NA	23	NA	NA	NA	NA	0.01356	0.001995	0.01356	0.00613	NA	0.003085	NA	0.01264	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales>Gottschalkiaceae"
"Gottschalkia acidurici"	"S"	1556	23	4	1	10	NA	6	NA	23	NA	NA	NA	NA	0.01356	0.001995	0.01356	0.00613	NA	0.003085	NA	0.01264	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales>Gottschalkiaceae>Gottschalkia"
"unclassified Tissierellia"	"-"	1737407	7	3	NA	NA	NA	7	NA	3	NA	NA	3	NA	0.003599	0.001496	NA	NA	NA	0.003599	NA	0.001649	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia"
"Ezakiella"	"G"	1582879	7	3	NA	NA	NA	7	NA	3	NA	NA	3	NA	0.003599	0.001496	NA	NA	NA	0.003599	NA	0.001649	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>unclassified&nbsp;Tissierellia"
"Ezakiella massiliensis"	"S"	1852374	7	3	NA	NA	NA	7	NA	3	NA	NA	3	NA	0.003599	0.001496	NA	NA	NA	0.003599	NA	0.001649	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>unclassified&nbsp;Tissierellia>Ezakiella"
"Erysipelotrichia"	"C"	526524	566	42	NA	26	NA	28	NA	566	NA	NA	25	NA	0.3111	0.02094	NA	0.01594	NA	0.0144	NA	0.3111	NA	NA	0.02747	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes"
"Erysipelotrichales"	"O"	526525	566	42	NA	26	NA	28	NA	566	NA	NA	25	NA	0.3111	0.02094	NA	0.01594	NA	0.0144	NA	0.3111	NA	NA	0.02747	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Erysipelotrichia"
"Erysipelotrichaceae"	"F"	128827	566	42	NA	26	NA	28	NA	566	NA	NA	25	NA	0.3111	0.02094	NA	0.01594	NA	0.0144	NA	0.3111	NA	NA	0.02747	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Erysipelotrichia>Erysipelotrichales"
"Turicibacter"	"G"	191303	490	13	NA	10	NA	7	NA	490	NA	NA	2	NA	0.2693	0.006482	NA	0.00613	NA	0.003599	NA	0.2693	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Turicibacter sp. H121"	"S"	1712675	490	13	NA	10	NA	7	NA	490	NA	NA	2	NA	0.2693	0.006482	NA	0.00613	NA	0.003599	NA	0.2693	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae>Turicibacter"
"Faecalibaculum"	"G"	1729679	15	12	NA	5	NA	6	NA	7	NA	NA	15	NA	0.01648	0.005984	NA	0.003065	NA	0.003085	NA	0.003848	NA	NA	0.01648	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Faecalibaculum rodentium"	"S"	1702221	15	12	NA	5	NA	6	NA	7	NA	NA	15	NA	0.01648	0.005984	NA	0.003065	NA	0.003085	NA	0.003848	NA	NA	0.01648	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae>Faecalibaculum"
"unclassified Erysipelotrichaceae"	"-"	433334	9	7	NA	3	NA	9	NA	8	NA	NA	1	NA	0.004628	0.00349	NA	0.001839	NA	0.004628	NA	0.004397	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
